check,quarter,manager,cusip,classification,resolution,reference,reviewed_by,reviewed_date
cusip-check-digit,2025Q1,Third Point,78462F953,filer-identifier-anomaly,Accepted SEC option line uses a non-validating identifier; options remain outside the main book,SEC accession 0001085146-25-003337; raw XML verified,Codex audit,2026-08-17
cusip-check-digit,2026Q1,Leon Cooperman,H2627K103,filer-identifier-error,Filer used H2627K103; official Amrize CUSIP is H2927K103; preserve as filed and map through documented alias,SEC accession 0000945621-26-000719; Amrize Schedule 13G,Codex audit,2026-08-17
identity,,,00510N102,issuer-name-change,Acuren renamed TIC Solutions; same security identity,SEC issuer filing history,Codex audit,2026-08-17
identity,,,023135106,filer-label-error,Altimeter swapped Amazon and Astera issuer labels; CUSIP-keyed joins remain correct,EXC-004; SEC accession 0001541617-24-000007,Codex audit,2026-08-17
identity,,,04626A103,filer-label-error,Altimeter swapped Astera and Amazon issuer labels; CUSIP-keyed joins remain correct,EXC-004; SEC accession 0001541617-24-000007,Codex audit,2026-08-17
identity,,,10948W103,issuer-name-change,BrightSphere renamed Acadian Asset Management; same security identity,SEC issuer 8-K dated 2024-10-01,Codex audit,2026-08-17
identity,,,131193104,issuer-name-change,Topgolf Callaway reverted to Callaway Golf; same security identity,SEC issuer filing history,Codex audit,2026-08-17
identity,,,165167172,issuer-name-change,Chesapeake renamed Expand Energy after the Southwestern merger,Expand Energy SEC filings,Codex audit,2026-08-17
identity,,,165167180,issuer-name-change,Chesapeake renamed Expand Energy after the Southwestern merger,Expand Energy SEC filings,Codex audit,2026-08-17
identity,,,165167735,issuer-name-change,Chesapeake renamed Expand Energy after the Southwestern merger,Expand Energy SEC filings,Codex audit,2026-08-17
identity,,,36315X101,issuer-name-change,Galapagos changed its corporate name to Lakefront Biotherapeutics; same CUSIP,SEC issuer filing history,Codex audit,2026-08-17
identity,,,36472T109,issuer-name-change,Gannett changed its corporate name to USA TODAY Co; same CUSIP,SEC issuer filing history,Codex audit,2026-08-17
identity,,,78462F103,issuer-label-variation,SPDR S&P 500 ETF labels are abbreviated variants of the same fund,SEC 13F filings with the same CUSIP,Codex audit,2026-08-17
identity,,,806407102,issuer-label-variation,Henry Schein and Schein Henry are word-order variants,SEC 13F filings with the same CUSIP,Codex audit,2026-08-17
identity,,,87241L109,issuer-name-change,TransForce is the former name of TFI International; same security identity,SEC issuer filing history,Codex audit,2026-08-17
identity,,,88023U101,issuer-name-change,Tempur Sealy renamed Somnigroup; same security identity,SEC issuer filing history,Codex audit,2026-08-17
identity,,,911684108,issuer-name-change,United States Cellular became Array Digital Infrastructure after its transaction; same CUSIP,SEC issuer filing history,Codex audit,2026-08-17
identity,,,G3398L118,issuer-name-change,Fidelis Insurance changed to Pelagos Insurance Capital; same security identity,SEC issuer filing history,Codex audit,2026-08-17
identity,,,Q4982L109,issuer-name-change,Iris Energy renamed IREN; same security identity,SEC issuer filing history,Codex audit,2026-08-17
qoq-price,2025Q1,third-point,64107A113,confirmed-warrant-movement,NET Power warrant shares were unchanged and the accepted filing reports the lower warrant value; not a common-share split,SEC accessions 0001085146-25-001713 and 0001085146-25-003337,Codex audit,2026-08-17
qoq-price,2025Q3,maverick-capital,231269309,filer-value-anomaly,Maverick reports an implied Curis price of $0.125 while independent same-quarter SEC filings imply about $2.32; preserve as filed and flag,SEC accession 0000947871-25-001016; independent SEC accession 0000093751-25-000521,Codex audit,2026-08-17
qoq-price,2025Q4,coatue,64110L106,corporate-action,Netflix completed a 10-for-1 forward split; adjust prior shares only for comparison,Netflix SEC 8-K exhibit dated 2025-10-30,Codex audit,2026-08-17
qoq-price,2025Q4,tiger-global,64110L106,corporate-action,Netflix completed a 10-for-1 forward split; adjust prior shares only for comparison,Netflix SEC 8-K exhibit dated 2025-10-30,Codex audit,2026-08-17
qoq-price,2026Q2,giverny,09857L108,corporate-action,Booking Holdings completed a 25-for-1 forward split; split-adjusted shares show a small trim rather than an add,Booking Holdings SEC 8-K dated 2026-04-02,Codex audit,2026-08-17
